feature,freq
worst area,1.0
worst radius,1.0
worst texture,0.99
mean concave points,0.99
worst perimeter,0.98
worst concave points,0.97
worst smoothness,0.92
radius error,0.89
mean area,0.89
area error,0.88
worst concavity,0.84
mean concavity,0.84
worst symmetry,0.82
mean radius,0.82
mean texture,0.8
mean perimeter,0.79
perimeter error,0.78
compactness error,0.69
fractal dimension error,0.67
mean fractal dimension,0.58
worst fractal dimension,0.4
symmetry error,0.38
smoothness error,0.3
worst compactness,0.3
mean smoothness,0.29
concave points error,0.24
texture error,0.23
mean symmetry,0.2
mean compactness,0.17
concavity error,0.16
